Corruption Perceptions Index 2025: Global scores,,,,,,,,,,,,,,,,,,,,,,,,,
EMBARGOED UNTIL 10.02.2026,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Country / Territory,ISO3,Region,CPI 2025 score,Rank,Standard error 2025,Number of sources,Lower CI,Upper CI,African Development Bank CPIA,Bertelsmann Foundation Sustainable Governance Index,Bertelsmann Foundation Transformation Index,Economist Intelligence Unit Country Ratings,Freedom House Nations In Transit,Global Insights Country Risk Ratings,IMD World Competitiveness Yearbook,PERC Asia Risk Guide,PRS International Country Risk Guide,Varieties of Democracy Project,World Bank CPIA,World Economic Forum EOS,World Justice Project Rule of Law Index,,,,
Denmark,DNK,WE/EU,89,1,1.88,8,86,92,,97,,83,,85,93,,100,75,,94,87,,,,
Finland,FIN,WE/EU,88,2,1.81,8,85,91,,97,,83,,85,93,,96,74,,91,84,,,,
Singapore,SGP,AP,84,3,1.52,9,82,86,,,77,83,,85,91,88,78,73,,99,85,,,,
New Zealand,NZL,AP,81,4,2.04,8,78,84,,87,,83,,85,72,,96,74,,69,83,,,,
Norway,NOR,WE/EU,81,4,1.62,8,78,84,,87,,83,,85,79,,87,74,,67,84,,,,
Sweden,SWE,WE/EU,80,6,2.53,8,76,84,,87,,83,,85,71,,96,74,,61,84,,,,
Switzerland,CHE,WE/EU,80,6,2.19,7,76,84,,87,,83,,72,87,,87,74,,68,,,,,
Luxembourg,LUX,WE/EU,78,8,2.19,7,74,82,,,,67,,72,79,,87,73,,89,78,,,,
Netherlands,NLD,WE/EU,78,8,2.40,8,74,82,,57,,83,,72,89,,87,74,,84,80,,,,
Germany,DEU,WE/EU,77,10,1.85,8,74,80,,77,,83,,72,89,,78,74,,61,79,,,,
Iceland,ISL,WE/EU,77,10,3.96,5,71,83,,,,67,,72,95,,78,74,,,,,,,
Australia,AUS,AP,76,12,1.43,9,74,78,,67,,67,,85,74,88,78,73,,74,80,,,,
Estonia,EST,WE/EU,76,12,1.07,10,74,78,,87,86,67,74,72,78,,69,73,,81,76,,,,
Hong Kong,HKG,AP,76,12,2.42,8,72,80,,,,83,,59,91,79,69,70,,87,73,,,,
Ireland,IRL,WE/EU,76,12,1.28,8,74,78,,77,,67,,72,86,,78,73,,78,77,,,,
Canada,CAN,AME,75,16,1.96,8,72,78,,87,,83,,72,74,,78,73,,58,77,,,,
Uruguay,URY,AME,73,17,1.32,7,71,75,,,82,67,,72,,,78,72,,74,71,,,,
