country_code,country_name,co2_risk,corruption_risk,forced_labor_risk,water_stress_risk,child_labor_risk,overall_risk
AFG,Afghanistan,0.05,9.12,1.2,6.75,2.44,3.91
OWID_AFR,Africa,0.23,,,,,0.23
ALB,Albania,0.37,6.25,1.09,7.16,0.47,3.07
DZA,Algeria,1.01,6.88,0.14,8.52,0.3,3.37
AND,Andorra,1.24,,,8.35,,4.8
AGO,Angola,0.13,7.12,0.35,3.86,1.77,2.65
AIA,Anguilla,2.44,,,,,2.44
ATG,Antigua and Barbuda,1.71,,,,,1.71
ARG,Argentina,0.9,6.62,0.35,3.72,0.28,2.37
ARM,Armenia,0.59,5.38,0.81,6.39,0.68,2.77
ABW,Aruba,2.05,,,,,2.05
OWID_ASI,Asia,1.17,,,,,1.17
AUS,Australia,3.5,1.62,0.11,5.66,,2.72
AUT,Austria,1.49,2.5,0.13,0.62,,1.18
AZE,Azerbaijan,0.92,7.38,0.97,5.16,0.85,3.06
BHS,Bahamas,1.84,3.12,,,,2.48
BHR,Bahrain,5.88,4.88,0.6,10.0,,5.34
BGD,Bangladesh,0.14,8.12,0.63,5.43,1.26,3.12
BRB,Barbados,1.16,2.62,,,0.17,1.32
BLR,Belarus,1.48,7.25,1.04,2.81,0.7,2.66
BEL,Belgium,1.75,2.5,0.05,9.04,,3.34
BLZ,Belize,0.45,6.62,,0.08,0.36,1.88
BEN,Benin,0.09,5.5,0.24,0.65,2.95,1.89
BMU,Bermuda,2.05,,,,,2.05
BTN,Bhutan,0.49,2.25,,1.15,0.26,1.04
BOL,Bolivia,0.55,7.62,0.64,0.56,,2.34
BES,Bonaire Sint Eustatius and Saba,1.19,,,,,1.19
BIH,Bosnia and Herzegovina,1.48,6.88,0.92,1.14,,2.6
BWA,Botswana,0.7,3.88,0.13,8.69,,3.35
BRA,Brazil,0.54,6.75,0.43,2.46,0.23,2.08
VGB,British Virgin Islands,1.17,,,,,1.17
BRN,Brunei,6.31,3.25,,0.0,,3.19
BGR,Bulgaria,1.12,6.12,0.77,2.98,,2.75
BFA,Burkina Faso,0.05,6.12,0.31,5.89,3.4,3.15
BDI,Burundi,0.0,9.0,0.67,0.12,10.0,3.96
KHM,Cambodia,0.29,8.62,0.43,3.42,1.9,2.93
CMR,Cameroon,0.07,7.88,0.51,0.17,6.22,2.97
CAN,Canada,3.24,1.75,0.13,2.63,,1.94
CPV,Cape Verde,0.26,3.38,,,,1.82
CAF,Central African Republic,0.0,8.12,0.46,1.5,3.4,2.7
TCD,Chad,0.02,8.38,0.52,1.6,5.75,3.25
CHL,Chile,0.95,3.25,0.26,9.03,0.71,2.84
CHN,China,2.09,5.75,0.34,5.53,,3.43
COL,Colombia,0.41,6.5,0.7,1.0,0.19,1.76
COM,Comoros,0.14,8.62,,,1.03,3.26
COG,Congo,0.33,8.25,0.72,0.06,1.97,2.27
COK,Cook Islands,1.4,,,,,1.4
CRI,Costa Rica,0.4,4.12,0.26,1.62,0.58,1.4
CIV,Cote d'Ivoire,0.1,5.75,0.65,0.0,2.35,1.77
HRV,Croatia,1.14,5.25,0.46,0.4,,1.81
CUB,Cuba,0.53,6.12,0.47,3.11,,2.56
CUW,Curacao,2.98,,,,,2.98
CYP,Cyprus,1.29,4.25,0.72,10.0,,4.06
CZE,Czechia,1.7,3.75,0.36,4.18,,2.5
COD,Democratic Republic of Congo,0.0,8.62,0.39,1.01,2.71,2.55
DNK,Denmark,1.14,0.0,0.01,2.04,,0.8
DJI,Djibouti,0.1,7.25,0.64,0.01,,2.0
DMA,Dominica,0.61,3.62,,,,2.12
DOM,Dominican Republic,0.69,6.5,0.59,3.15,0.53,2.29
TLS,East Timor,0.1,5.62,,3.43,,3.05
ECU,Ecuador,0.6,7.0,0.69,2.12,0.58,2.2
EGY,Egypt,0.52,7.38,0.37,8.88,1.54,3.74
SLV,El Salvador,0.33,7.12,0.73,4.78,0.49,2.69
GNQ,Equatorial Guinea,0.89,9.25,0.7,0.0,,2.71
ERI,Eritrea,0.04,9.5,8.62,6.35,,6.13
EST,Estonia,1.47,1.62,0.35,2.93,,1.59
SWZ,Eswatini,0.19,8.25,0.3,1.7,2.07,2.5
ETH,Ethiopia,0.02,6.38,0.56,2.48,3.46,2.58
OWID_EUR,Europe,1.57,,,,,1.57
OWID_EU27,European Union (27),1.29,,,,,1.29
FRO,Faroe Islands,3.16,,,,,3.16
FJI,Fiji,0.36,4.25,,,2.88,2.5
FIN,Finland,1.27,0.12,0.09,1.9,,0.84
FRA,France,0.95,2.88,0.15,4.48,,2.12
PYF,French Polynesia,0.78,,,,,0.78
GAB,Gabon,0.5,7.5,0.68,0.0,0.96,1.93
GMB,Gambia,0.06,6.5,0.58,0.38,2.78,2.06
GEO,Georgia,0.74,4.88,0.7,2.36,0.23,1.78
DEU,Germany,1.63,1.5,0.01,4.34,,1.87
GHA,Ghana,0.14,5.75,0.23,1.05,0.98,1.63
GRC,Greece,1.28,4.88,0.56,8.9,,3.9
GRL,Greenland,2.68,,,,,2.68
GRD,Grenada,0.77,4.12,,,,2.45
GTM,Guatemala,0.25,7.88,0.7,2.58,2.24,2.73
GIN,Guinea,0.05,7.88,0.34,0.66,3.61,2.51
GNB,Guinea-Bissau,0.02,8.5,0.38,0.95,5.66,3.1
GUY,Guyana,1.3,6.12,0.35,5.14,0.86,2.75
HTI,Haiti,0.05,9.12,0.74,3.15,4.0,3.41
OWID_HIC,High-income countries,2.36,,,,,2.36
HND,Honduras,0.27,8.38,0.62,0.49,2.37,2.43
HKG,Hong Kong,1.08,1.62,0.22,,,0.97
HUN,Hungary,0.99,6.12,0.58,0.9,,2.15
ISL,Iceland,2.33,1.5,,0.0,,1.28
IND,India,0.52,6.25,0.72,7.87,0.13,3.1
IDN,Indonesia,0.68,6.88,0.6,4.76,0.26,2.64
IRN,Iran,2.09,8.25,0.63,9.27,,5.06
IRQ,Iraq,1.22,7.62,0.48,8.35,0.53,3.64
IRL,Ireland,1.52,1.62,0.06,0.7,,0.98
ISR,Israel,1.35,3.38,0.32,9.92,,3.74
ITA,Italy,1.22,4.5,0.27,6.88,,3.22
JAM,Jamaica,0.7,5.62,0.65,0.0,0.43,1.48
JPN,Japan,1.87,2.25,0.06,3.73,,1.98
JOR,Jordan,0.47,4.88,0.91,9.64,0.17,3.21
KAZ,Kazakhstan,3.37,6.38,1.01,5.45,,4.05
KEN,Kenya,0.08,7.38,0.43,2.85,0.75,2.3
KIR,Kiribati,0.12,,,,1.28,0.7
OWID_KOS,Kosovo,1.15,,0.72,,,0.94
KWT,Kuwait,6.36,5.38,1.2,7.99,,5.23
KGZ,Kyrgyzstan,0.38,7.88,0.79,6.89,3.33,3.85
LAO,Laos,0.75,6.88,0.45,1.65,,2.43
LVA,Latvia,0.82,3.62,0.28,1.22,,1.48
LBN,Lebanon,0.64,8.25,0.68,9.97,,4.88
LSO,Lesotho,0.25,6.5,0.11,6.86,1.48,3.04
LBR,Liberia,0.02,7.62,0.25,0.0,3.91,2.36
LBY,Libya,2.13,9.5,0.61,9.51,,5.44
LIE,Liechtenstein,0.79,,,1.85,,1.32
LTU,Lithuania,1.05,3.0,0.54,4.31,,2.22
OWID_LIC,Low-income countries,0.05,,,,,0.05
OWID_LMC,Lower-middle-income countries,0.38,,,,,0.38
LUX,Luxembourg,2.52,1.38,,6.25,,3.38
MAC,Macao,0.34,,,,,0.34
MDG,Madagascar,0.02,8.0,0.39,2.11,4.59,3.02
MWI,Malawi,0.01,6.88,0.42,1.67,4.47,2.69
MYS,Malaysia,1.97,4.62,0.55,2.2,,2.34
MDV,Maldives,1.05,6.25,,,,3.65
MLI,Mali,0.06,7.62,0.45,2.04,3.89,2.81
MLT,Malta,0.76,5.0,,,,2.88
MHL,Marshall Islands,0.98,,,,,0.98
MRT,Mauritania,0.23,7.38,3.03,5.39,0.53,3.31
MUS,Mauritius,0.88,5.12,0.1,,,2.03
MEX,Mexico,0.84,7.75,0.59,7.97,0.75,3.58
FSM,Micronesia (country),0.31,,,,,0.31
MDA,Moldova,0.41,5.88,0.86,2.37,,2.38
MNG,Mongolia,3.11,7.25,0.34,6.59,1.07,3.67
MNE,Montenegro,0.89,5.38,,1.6,1.39,2.32
MSR,Montserrat,1.45,,,,,1.45
MAR,Morocco,0.43,6.25,0.17,8.19,,3.76
MOZ,Mozambique,0.05,8.5,0.24,1.61,1.99,2.48
MMR,Myanmar,0.13,9.12,1.11,4.35,1.47,3.24
NAM,Namibia,0.26,5.38,0.18,8.37,,3.55
NRU,Nauru,1.23,,,,0.08,0.66
NPL,Nepal,0.14,6.88,0.27,5.86,3.55,3.34
NLD,Netherlands,1.51,1.38,0.01,3.63,,1.63
NCL,New Caledonia,4.37,,,,,4.37
NZL,New Zealand,1.5,1.0,0.11,0.26,,0.72
NIC,Nicaragua,0.18,9.38,0.66,0.54,4.81,3.11
NER,Niger,0.02,7.25,0.4,6.42,7.91,4.4
NGA,Nigeria,0.13,7.88,0.7,2.02,5.23,3.19
NIU,Niue,0.99,,,,,0.99
OWID_NAM,North America,2.41,,,,0.02,1.22
PRK,North Korea,0.56,9.25,10.0,4.7,,6.13
