STRUCTURE,STRUCTURE_ID,ACTION,FREQ,FREQ_LABEL,REF_AREA,REF_AREA_LABEL,INDICATOR,INDICATOR_LABEL,SEX,SEX_LABEL,AGE,AGE_LABEL,URBANISATION,URBANISATION_LABEL,UNIT_MEASURE,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3,COMP_BREAKDOWN_3_LABEL,TIME_PERIOD,OBS_VALUE,AGG_METHOD,AGG_METHOD_LABEL,DATABASE_ID,DATABASE_ID_LABEL,COMMENT_TS,UNIT_MULT,UNIT_MULT_LABEL,UNIT_TYPE,UNIT_TYPE_LABEL,COMMENT_OBS,OBS_STATUS,OBS_STATUS_LABEL,OBS_CONF,OBS_CONF_LABEL
datastructure,WB.DATA360:DS_DATA360(1.2),I,_O,Other,BHR,Bahrain,WRI_AQDT_FUTURE_BWS,Water stress (Future),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,SCORE,Score,WRI_AQDT_WEIGHT_TOT,Weight: Total gross withdrawal,WRI_AQDT_SCENARIO_OPT,Scenario: Optimistic,_Z,Not Applicable,2030,5.0,_Z,Not Applicable,WRI_AQDT,Aqueduct 4.0 Current and Future Country Rankings,,0,Units,IX,Index,text-based risk category: Extremely High (>80%),A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,_O,Other,BHR,Bahrain,WRI_AQDT_FUTURE_BWS,Water stress (Future),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,SCORE,Score,WRI_AQDT_WEIGHT_TOT,Weight: Total gross withdrawal,WRI_AQDT_SCENARIO_BAU,Scenario: Business as Usual,_Z,Not Applicable,2030,5.0,_Z,Not Applicable,WRI_AQDT,Aqueduct 4.0 Current and Future Country Rankings,,0,Units,IX,Index,text-based risk category: Extremely High (>80%),A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,_O,Other,BHR,Bahrain,WRI_AQDT_FUTURE_BWS,Water stress (Future),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,SCORE,Score,WRI_AQDT_WEIGHT_TOT,Weight: Total gross withdrawal,WRI_AQDT_SCENARIO_PES,Scenario: Pessimistic,_Z,Not Applicable,2030,5.0,_Z,Not Applicable,WRI_AQDT,Aqueduct 4.0 Current and Future Country Rankings,,0,Units,IX,Index,text-based risk category: Extremely High (>80%),A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,_O,Other,BHR,Bahrain,WRI_AQDT_FUTURE_BWS,Water stress (Future),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,SCORE,Score,WRI_AQDT_WEIGHT_TOT,Weight: Total gross withdrawal,WRI_AQDT_SCENARIO_OPT,Scenario: Optimistic,_Z,Not Applicable,2050,5.0,_Z,Not Applicable,WRI_AQDT,Aqueduct 4.0 Current and Future Country Rankings,,0,Units,IX,Index,text-based risk category: Extremely High (>80%),A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,_O,Other,BHR,Bahrain,WRI_AQDT_FUTURE_BWS,Water stress (Future),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,SCORE,Score,WRI_AQDT_WEIGHT_TOT,Weight: Total gross withdrawal,WRI_AQDT_SCENARIO_BAU,Scenario: Business as Usual,_Z,Not Applicable,2050,5.0,_Z,Not Applicable,WRI_AQDT,Aqueduct 4.0 Current and Future Country Rankings,,0,Units,IX,Index,text-based risk category: Extremely High (>80%),A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,_O,Other,BHR,Bahrain,WRI_AQDT_FUTURE_BWS,Water stress (Future),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,SCORE,Score,WRI_AQDT_WEIGHT_TOT,Weight: Total gross withdrawal,WRI_AQDT_SCENARIO_PES,Scenario: Pessimistic,_Z,Not Applicable,2050,5.0,_Z,Not Applicable,WRI_AQDT,Aqueduct 4.0 Current and Future Country Rankings,,0,Units,IX,Index,text-based risk category: Extremely High (>80%),A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,_O,Other,BHR,Bahrain,WRI_AQDT_FUTURE_BWS,Water stress (Future),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,SCORE,Score,WRI_AQDT_WEIGHT_TOT,Weight: Total gross withdrawal,WRI_AQDT_SCENARIO_BAU,Scenario: Business as Usual,_Z,Not Applicable,2080,5.0,_Z,Not Applicable,WRI_AQDT,Aqueduct 4.0 Current and Future Country Rankings,,0,Units,IX,Index,text-based risk category: Extremely High (>80%),A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,_O,Other,BHR,Bahrain,WRI_AQDT_FUTURE_BWS,Water stress (Future),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,SCORE,Score,WRI_AQDT_WEIGHT_TOT,Weight: Total gross withdrawal,WRI_AQDT_SCENARIO_PES,Scenario: Pessimistic,_Z,Not Applicable,2080,5.0,_Z,Not Applicable,WRI_AQDT,Aqueduct 4.0 Current and Future Country Rankings,,0,Units,IX,Index,text-based risk category: Extremely High (>80%),A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,_O,Other,CYP,Cyprus,WRI_AQDT_FUTURE_BWS,Water stress (Future),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,SCORE,Score,WRI_AQDT_WEIGHT_TOT,Weight: Total gross withdrawal,WRI_AQDT_SCENARIO_OPT,Scenario: Optimistic,_Z,Not Applicable,2030,5.0,_Z,Not Applicable,WRI_AQDT,Aqueduct 4.0 Current and Future Country Rankings,,0,Units,IX,Index,text-based risk category: Extremely High (>80%),A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,_O,Other,CYP,Cyprus,WRI_AQDT_FUTURE_BWS,Water stress (Future),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,SCORE,Score,WRI_AQDT_WEIGHT_TOT,Weight: Total gross withdrawal,WRI_AQDT_SCENARIO_BAU,Scenario: Business as Usual,_Z,Not Applicable,2030,5.0,_Z,Not Applicable,WRI_AQDT,Aqueduct 4.0 Current and Future Country Rankings,,0,Units,IX,Index,text-based risk category: Extremely High (>80%),A,Normal value,PU,Public
